nome_comum,bioma,habito_alimentar,status_conservacao,envergadura_asa_cm,peso_kg,nome_cientifico,tamanho_cm,distribuicao_geografica,periodo_atividade,habitat_preferido
Arara Azul,Cerrado,Frugívoro,Vulnerável,120,1.2,Anodorhynchus hyacinthinus,90,Amazônia,Diurno,Florestas tropicais e áreas alagadas
Tucano Toco,Amazônia,Frugívoro,Pouco Preocupante,50,0.7,Ramphastos toco,55,Amazônia,Diurno,Florestas tropicais
Curió,Mata Atlântica,Granívoro,Pouco Preocupante,20,0.02,Sporophila angolensis,15,Mata Atlântica,Diurno,Campos e cerrados
Papagaio Verdadeiro,Pantanal,Frugívoro,Pouco Preocupante,40,0.4,Amazona aestiva,40,Pantanal,Diurno,Florestas e áreas abertas
Gavião Real,Amazônia,Carnívoro,Em Perigo,200,6.5,Harpia harpyja,85,Amazônia,Diurno,Florestas densas
Beija-flor,Mata Atlântica,Nectarívoro,Pouco Preocupante,12,0.01,Anthracothorax viridis,10,Mata Atlântica,Diurno,Jardins e florestas
Sabiá Laranjeira,Cerrado,Onívoro,Pouco Preocupante,30,0.08,Turdus rufiventris,23,Cerrado,Diurno,Áreas abertas e arbustivas
Urubu Rei,Pantanal,Carnívoro,Quase Ameaçado,180,3.5,Sarcoramphus papa,70,Pantanal,Diurno,Áreas alagadas e campos abertos
Ararajuba,Amazônia,Frugívoro,Vulnerável,35,0.3,Guaruba guarouba,40,Amazônia,Diurno,Florestas primárias
Canário da Terra,Cerrado,Granívoro,Pouco Preocupante,25,0.05,Serinus canaria,12,Cerrado,Diurno,Cerrados e pastagens
Andorinha,Pantanal,Insectívoro,Pouco Preocupante,25,0.02,Hirundo rustica,20,Pantanal,Diurno,Campos abertos
Codorna,Cerrado,Onívoro,Pouco Preocupante,18,0.12,Colinus virginianus,30,Cerrado,Diurno,Áreas abertas e cerrados
Jacu,Mata Atlântica,Frugívoro,Em Perigo,70,3.1,Crax rubra,80,Mata Atlântica,Diurno,Florestas densas
Guaracá,Pantanal,Frugívoro,Quase Ameaçado,80,1.8,Pipile cumanensis,60,Pantanal,Diurno,Áreas alagadas e vegetação rasteira
Macaúba,Amazônia,Frugívoro,Vulnerável,90,2.5,Leptodon nobilis,70,Amazônia,Diurno,Florestas de várzea
Periquito,Amazônia,Frugívoro,Pouco Preocupante,25,0.03,Myiopsitta monachus,30,Amazônia,Diurno,Florestas e campos abertos
Tuiuiú,Pantanal,Carnívoro,Em Perigo,180,7.0,Jabiru mycteria,150,Pantanal,Diurno,Áreas alagadas
Cacau,Amazônia,Frugívoro,Em Perigo,65,2.2,Pyrrhura leucotis,50,Amazônia,Diurno,Florestas tropicais
Martinete,Cerrado,Insectívoro,Pouco Preocupante,40,0.4,Phacellodomus ruber,30,Cerrado,Diurno,Áreas abertas e matas
Papagaio de Cara-roxa,Amazônia,Frugívoro,Em Perigo,35,0.45,Amazona brasiliensis,50,Amazônia,Diurno,Florestas densas
Pica-pau,Mata Atlântica,Insectívoro,Pouco Preocupante,20,0.08,Melanerpes erythrocephalus,22,Mata Atlântica,Diurno,Florestas densas
Nambu,Cerrado,Granívoro,Pouco Preocupante,25,0.1,Nothura maculosa,23,Cerrado,Diurno,Áreas abertas e cerrados
Jararaca,Amazônia,Carnívoro,Em Perigo,150,4.5,Spilornis cheela,80,Amazônia,Diurno,Florestas densas
